WHORegionName,Year,Iso3,CountryTerritoryArea,Specimen,PathogenName,AntibioticName,InterpretableAST,Resistant,ResistancePercentage,SourceFile
European Region,2022,MKD,North Macedonia,Bloodstream,Acinetobacter spp.,Meropenem,31,31,100,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,POL,Poland,Bloodstream,Acinetobacter spp.,Meropenem,459,350,76.252723312,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,MDA,Republic of Moldova,Bloodstream,Acinetobacter spp.,Meropenem,41,38,92.682926829,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,RUS,Russian Federation,Bloodstream,Acinetobacter spp.,Meropenem,526,218,41.44486692,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,SWE,Sweden,Bloodstream,Acinetobacter spp.,Meropenem,149,2,1.342281879,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,CHE,Switzerland,Bloodstream,Acinetobacter spp.,Meropenem,87,6,6.896551724,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,TUR,T<U+00FC>rkiye,Bloodstream,Acinetobacter spp.,Meropenem,2481,2242,90.366787586,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,UKR,Ukraine,Bloodstream,Acinetobacter spp.,Meropenem,204,156,76.470588235,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2022,GBR,United Kingdom of Great Britain and Northern Ireland,Bloodstream,Acinetobacter spp.,Meropenem,1033,10,0.968054211,Resistance_to_antibiotics_in_2022_European_Region-Bloodstream.csv
European Region,2023,AUT,Austria,Bloodstream,Acinetobacter spp.,Imipenem,34,6,17.647058824,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
European Region,2023,BEL,Belgium,Bloodstream,Acinetobacter spp.,Imipenem,30,3,10,Resistance_to_antibiotics_in_2023_European_Region-Bloodstream.csv
